"ID","English","French","Italian","German","Russian","Spanish","Czech","Hungarian","Polish"
"1","Tyfagaars","Tyfagaars","Tyfagaars","Tyfagaars","Тифагаарс","Tyfagaars","Tyfagaars","Tyfagaars","Tyfagaars"
"2","Tamulgaar","Tamulgaar","Tamulgaar","Tamulgaar","Тамалгаар","Tamulgaar","Tamulgaar","Tamulgaar","Tamulgaar"
"3","Tramulgaar","Tramulgaar","Tramulgaar","Tramulgaar","Трамалгаар","Tramulgaar","Tramulgaar","Tramulgaar","Tramulgaar"
"4","Santigaar","Santigaar","Santigaar","Santigaar","Сантигаар","Santigaar","Santigaar","Santigaar","Santigaar"
"5","Thish-gaars","Thish-gaars","Thish-gaars","Thish-gaars","Тиш-гаарс","Thish-gaars","Thish-gaars","Thish-gaars","Thish-gaars"
"6","Craznogahr","Craznogahr","Craznogahr","Craznogahr","Кразногар","Craznogahr","Craznogahr","Craznogahr","Craznogahr"
"7","Gran-tigaars","Gran-tigaars","Gran-tigaars","Gran-tigaars","Гран-тигаарс","Gran-tigaars","Gran-tigaars","Gran-tigaars","Gran-tigaars"
"8","Trotigaars","Trotigaars","Trotigaars","Trotigaars","Тротигаарс","Trotigaars","Trotigaars","Trotigaars","Trotigaars"
"9","To'gord","To'gord","To'gord","To'gord","То'горд","To'gord","To'gord","To'gord","To'gord"
"10","Mashnogaars","Mashnogaars","Mashnogaars","Mashnogaars","Машногаарс","Mashnogaars","Mashnogaars","Mashnogaars","Mashnogaars"
"11","Mitigahd","Mitigahd","Mitigahd","Mitigahd","Митигад","Mitigahd","Mitigahd","Mitigahd","Mitigahd"
"12","Thishmulghor","Thishmulghor","Thishmulghor","Thishmulghor","Тишмальгор","Thishmulghor","Thishmulghor","Thishmulghor","Thishmulghor"
"13","Chamon Darth Muy","Chamon Darth Muy","Chamon Darth Muy","Chamon Darth Muy","Шамон Дарт Маи","Chamon Darth Muy","Chamon Darth Muy","Chamon Darth Muy","Chamon Darth Muy"
"14","Kinear Neth Dhar","Kinear Neth Dhar","Kinear Neth Dhar","Kinear Neth Dhar","Кинир Нет Дхар","Kinear Neth Dhar","Kinear Neth Dhar","Kinear Neth Dhar","Kinear Neth Dhar"
"15","Chamon Dha Shyish","Chamon Dha Shyish","Chamon Dha Shyish","Chamon Dha Shyish","Шамон Дха Шыш","Chamon Dha Shyish","Chamon Dha Shyish","Chamon Dha Shyish","Chamon Dha Shyish"
"16","Anar Sylk Dha'y","Anar Sylk Dha'y","Anar Sylk Dha'y","Anar Sylk Dha'y","Анар Силк Дха'и","Anar Sylk Dha'y","Anar Sylk Dha'y","Anar Sylk Dha'y","Anar Sylk Dha'y"
"17","Skaran","Skaran","Skaran","Skaran","Шраман","Skaran","Skaran","Skaran","Skaran"
"18","Morrga","Morrga","Morrga","Morrga","Моррга","Morrga","Morrga","Morrga","Morrga"
"19","Weegob","Weegob","Weegob","Weegob","Виигоб","Weegob","Weegob","Weegob","Weegob"
"20","Slubgob","Slubgob","Slubgob","Slubgob","Проглот","Slubgob","Slubgob","Slubgob","Slubgob"
"21","Tuffnut","Tuffnut","Tuffnut","Tuffnut","Крутой","Tuffnut","Tuffnut","Tuffnut","Tuffnut"
"22","Grabbit","Grabbit","Pigglia","Grabbit","Хватун","Grabbit","Grabbit","Grabbit","Grabbit"
"23","Chukkit","Chukkit","Zpakka","Chukkit","Хлобысть","Chukkit","Chukkit","Chukkit","Chukkit"
"24","Lobbit","Lobbit","Addozzo","Lobbit","Швырк","Lobbit","Lobbit","Lobbit","Lobbit"
"25","Umpit","Umpit","Diztruggi","Umpit","Дыркун","Umpit","Umpit","Umpit","Umpit"
"26","Skarlak","Skarlak","Skarlak","Skarlak","Шрамак","Skarlak","Skarlak","Skarlak","Skarlak"
"27","Skaraz","Skaraz","Skaraz","Skaraz","Шрамаз","Skaraz","Skaraz","Skaraz","Skaraz"
"28","Hobbl","Hobbl","Hobbl","Hobbl","Хромм","Hobbl","Hobbl","Hobbl","Hobbl"
"29","Grozu'k","Grozu'k","Grozu'k","Grozu'k","Грозу'к","Grozu'k","Grozu'k","Grozu'k","Grozu'k"
"31","Krazu'k","Krazu'k","Krazu'k","Krazu'k","Кразу'к","Krazu'k","Krazu'k","Krazu'k","Krazu'k"
"33","Axlshix","Axlshix","Axlshix","Axlshix","Аксльшикс","Axlshix","Axlshix","Axlshix","Axlshix"
"34","Loqtsa","Loqtsa","Loqtsa","Loqtsa","Локтса","Loqtsa","Loqtsa","Loqtsa","Loqtsa"
"35","Puaqutah","Puaqutah","Puaqutah","Puaqutah","Пуакута","Puaqutah","Puaqutah","Puaqutah","Puaqutah"
"36","Itzapek","Itzapek","Itzapek","Itzapek","Итзапек","Itzapek","Itzapek","Itzapek","Itzapek"
"37","Itzamiq-shi","Itzamiq-shi","Itzamiq-shi","Itzamiq-shi","Итзамик-ши","Itzamiq-shi","Itzamiq-shi","Itzamiq-shi","Itzamiq-shi"
"38","Lazxl","Lazxl","Lazxl","Lazxl","Лазксл","Lazxl","Lazxl","Lazxl","Lazxl"
"39","Mindalt","Mindalt","Mindalt","Mindalt","Миндалт","Mindalt","Mindalt","Mindalt","Mindalt"
"40","Xhoshix","Xhoshix","Xhoshix","Xhoshix","Ксошикс","Xhoshix","Xhoshix","Xhoshix","Xhoshix"
"41","Tualtqai","Tualtqai","Tualtqai","Tualtqai","Туатлквай","Tualtqai","Tualtqai","Tualtqai","Tualtqai"
"42","Chaqtsa","Chaqtsa","Chaqtsa","Chaqtsa","Чактса","Chaqtsa","Chaqtsa","Chaqtsa","Chaqtsa"
"43","Kroklotha","Kroklotha","Kroklotha","Kroklotha","Кроклота","Kroklotha","Kroklotha","Kroklotha","Kroklotha"
"45","Dekan Dha Shyesh","Dekan Dha Shyesh","Dekan Dha Shyesh","Dekan Dha Shyesh","Декан Дха Шиеш","Dekan Dha Shyesh","Dekan Dha Shyesh","Dekan Dha Shyesh","Dekan Dha Shyesh"
"46","Leshtrigel Frim Phaos'y","Leshtrigel Frim Phaos'y","Leshtrigel Frim Phaos'y","Leshtrigel Frim Phaos'y","Лестригель Фрим Фаос'и","Leshtrigel Frim Phaos'y","Leshtrigel Frim Phaos'y","Leshtrigel Frim Phaos'y","Leshtrigel Frim Phaos'y"
"47","Lektor Aqhyah Ugu'y","Lektor Aqhyah Ugu'y","Lektor Aqhyah Ugu'y","Lektor Aqhyah Ugu'y","Лектор Акиа Агу'и","Lektor Aqhyah Ugu'y","Lektor Aqhyah Ugu'y","Lektor Aqhyah Ugu'y","Lektor Aqhyah Ugu'y"
"48","Patigors","Patigors","Patigors","Patigors","Патигорс","Patigors","Patigors","Patigors","Patigors"
"49","San-nogor","San-nogor","San-nogor","San-nogor","Сан-ногор","San-nogor","San-nogor","San-nogor","San-nogor"
"50","Wal'gors","Wal'gors","Wal'gors","Wal'gors","Валь'горс","Wal'gors","Wal'gors","Wal'gors","Wal'gors"
"51","Far'mulgor","Far'mulgor","Far'mulgor","Far'mulgor","Фар'мулгор","Far'mulgor","Far'mulgor","Far'mulgor","Far'mulgor"
"52","Tra'nogors","Tra'nogors","Tra'nogors","Tra'nogors","Тра'ногорс","Tra'nogors","Tra'nogors","Tra'nogors","Tra'nogors"
