"ID","French","English","Italian","German","Russian","Spanish","LatAm","Czech","Hungarian","Polish","IdPlayerNameTypes","Part"
"64","Viggo","Viggo","Viggo","Viggo","Вигго","Viggo","Viggo","Viggo","Viggo","Viggo","2","1"
"65","Manfred","Manfred","Manfred","Manfred","Манфред","Manfred","Manfred","Manfred","Manfred","Manfred","2","1"
"66","Hector","Hector","Hector","Hektor","Гектор","Héctor","Héctor","Hektor","Hector","Hector","2","1"
"67","Admund","Admund","Admund","Edmund","Эдмунд","Admund","Admund","Admund","Admund","Admund","2","1"
"68","Ewan","Ewan","Ewan","Ewan","Эван","Ewan","Ewan","Ewan","Ewan","Ewan","2","1"
"69","Boris","Boris","Boris","Boris","Борис","Boris","Boris","Boris","Boris","Boris","2","1"
"70","Karl","Karl","Karl","Karl","Карл","Karl","Karl","Karl","Karl","Karl","2","1"
"71","Griswold","Griswold","Griswold","Griswald","Грисвольд","Griswold","Griswold","Griswold","Griswold","Griswold","2","1"
"72","Hob","Hob","Hob","Hob","Хоб","Hob","Hob","Hob","Hob","Hob","2","1"
"73","Edgar","Edgar","Edgar","Edgar","Эдгар","Edgar","Edgar","Edgar","Edgar","Edgar","2","1"
"74","Jek","Jek","Jek","Jek","Джек","Jek","Jek","Jek","Jek","Jek","2","1"
"75","Fracist","Fracist","Fracist","Frazist","Фрасист","Fracist","Fracist","Fracist","Fracist","Fracist","2","1"
"76","Shari","Shari","Shari","Shari","Шэри","Shari","Shari","Shari","Shari","Shari","2","1"
"77","Reyan","Reyan","Reyan","Reyan","Рейан","Reyan","Reyan","Reyan","Reyan","Reyan","2","1"
"78","Teef","Teef","Teef","Zähn","Зуп","Piñoz","Piñoz","Drtič","Teef","Teef","2","1"
"79","Smasha","Smasha","Smasha","Schläga","Крушитель","Aplaztador","Aplaztador","Mlátička","Smasha","Smasha","2","1"
"80","Davion","Davion","Davion","Davion","Дэвион","Davion","Davion","Davion","Davion","Davion","2","1"
"81","Kardel","Kardel","Kardel","Kardel","Кардел","Kardel","Kardel","Kardel","Kardel","Kardel","2","1"
"82"," le Petit"," the Small"," il piccolo"," der Kleine"," Малыш"," el Pequeño"," el Pequeño"," Malý",", a pici"," Mały","2","2"
"83"," le Grand"," the Tall"," il grande"," der Große"," Великан"," el Alto"," el Alto"," Vysoký",", a magas"," Wysoki","2","2"
"84"," le Gros"," the Fat"," il grasso"," der Fette"," Жирдяй"," el Gordo"," el Gordo"," Tlustý",", a kövér"," Gruby","2","2"
"85"," le Lent"," the Slow"," il lento"," der Langsame"," Тихоход"," el Lento"," el Lento"," Pomalý",", a lassú"," Powolny","2","2"
"86"," le Rapide"," the Fast"," il veloce"," der Schnelle"," Быстрый"," el Rápido"," el Rápido"," Rychlý",", a gyors"," Szybki","2","2"
"87"," le Dégourdi"," the Smart"," l'astuto"," der Kluge"," Умник"," el Listo"," el Listo"," Chytrý",", az okos"," Sprytny","2","2"
"88"," le Louche"," the Boss-eyed"," l'occhioacuto"," der Schieler"," Косой"," el Bizco"," el Bizco"," Šilhavý",", a bandzsa"," Zezowaty","2","2"
"89"," le Moche"," the Ugly"," il brutto"," der Hässliche"," Злой"," el Feo"," el Feo"," Ohavný",", a csúf"," Paskudny","2","2"
"90"," le Rond"," the Round"," il tondo"," der Runde"," Круглый"," el Redondo"," el Redondo"," Kulička",", a gömböc"," Krągły","2","2"
"91"," le Parleur"," the Talker"," l'oratore"," der Erzähler"," Говорун"," el Parlanchín"," el Parlanchín"," Mluvka",", a fecsegő"," Wygadany","2","2"
"92"," le Menteur"," the Liar"," il menzognero"," der Lügner"," Лжец"," el Mentiroso"," el Mentiroso"," Lhář",", a hazug"," Łgarz","2","2"
"93"," le Brailleur"," the Bawler"," l'urlatore"," der Schreier"," Крикун"," el Llorón"," el Llorón"," Řvoun",", az üvöltő"," Beksa","2","2"
"94"," le Mangeur"," the Eater"," il mangiatore"," der Verfressene"," Едок"," el Comilón"," el Comilón"," Žrout",", a zabagép"," Obżarciuch","2","2"
"95"," le Vantard"," the Braggart"," il gradasso"," der Angeber"," Хвастун"," el Fanfarrón"," el Fanfarrón"," Chvástal",", a hencegő"," Blagier","2","2"
"96"," le Criard"," the Screamer"," lo strillone"," der Kreischer"," Горлодер"," el Gritón"," el Gritón"," Křikloun",", a sikító"," Krzykacz","2","2"
"97"," le Racontard"," the Storyteller"," il cantastorie"," der Geschichtenerzähler"," Выдумщик"," el Cuentacuentos"," el Cuentacuentos"," Vypravěč",", a mesélő"," Bajarz","2","2"
"98"," le Pleurnichard"," the Weeper"," il piagnucoloso"," die Heulsuse"," Плакса"," el Llorica"," el Llorica"," Plačka",", a rinyás"," Płaczek","2","2"
"99"," le Vaillant"," the Valiant"," il valoroso"," der Tapfere"," Храбрец"," el Valiente"," el Valiente"," Udatný",", a délceg"," Mężny","2","2"
"100"," le Frêle"," the Frail"," il fragile"," der Zarte"," Тростник"," el Frágil"," el Frágil"," Slaboch",", a gyönge"," Kruchy","2","2"
"101"," le Bavard"," the Chatterer"," il loquace"," der Schwätzer"," Болтун"," el Charlatán"," el Charlatán"," Kecal",", a pletykás"," Gaduła","2","2"
"102"," le Droit"," the Righteous"," l'onesto"," der Rechtschaffene"," Праведник"," el Honrado"," el Honrado"," Spravedlivý",", a becsületes"," Sprawiedliwy","2","2"
"103"," le Vertueux"," the Virtuous"," il virtuoso"," der Virtuose"," Святоша"," el Virtuoso"," el Virtuoso"," Slušňák",", az erényes"," Cnotliwy","2","2"
"104"," le Buveur"," the Drinker"," il bevitore"," der Trinker"," Выпивоха"," el Bebedor"," el Bebedor"," Piják",", a részeges"," Moczymorda","2","2"
"105"," le Bel"," the Handsome"," il bello"," der Hübsche"," Красавчик"," el Guapo"," el Guapo"," Hezoun",", a csinos"," Przystojny","2","2"
"106"," le Chasseur"," the Hunter"," il cacciatore"," der Jäger"," Охотник"," el Cazador"," el Cazador"," Lovec",", a vadász"," Łowca","2","2"
"107"," le Troubadour"," the Bard"," il bardo"," der Barde"," Бард"," el Bardo"," el Bardo"," Bard",", a bárd"," Bard","2","2"
"108"," le Couard"," the Coward"," il codardo"," der Feigling"," Трус"," el Cobarde"," el Cobarde"," Zbabělec",", a gyáva"," Tchórz","2","2"
"109"," le Destructeur"," the Destroyer"," il distruttore"," der Zerstörer"," Разрушитель"," el Destructor"," el Destructor"," Ničitel",", a pusztító"," Niszczyciel","2","2"
"110"," le Vilain"," the Awful"," il terribile"," der Schreckliche"," Жуткий"," el Terrible"," el Terrible"," Hnusák",", a szörnyű"," Straszliwy","2","2"
"111"," le Fou"," the Mad"," il pazzo"," der Wahnsinnige"," Безумный"," el Loco"," el Loco"," Šílený",", az őrült"," Szalony","2","2"
"112"," le Grognard"," the Moaner"," il lamentoso"," der Jammernde"," Нытик"," el Quejumbroso"," el Quejumbroso"," Fňukal",", a nyöszörgő"," Malkontent","2","2"
"113"," le Fêtard"," the Reveller"," il festaiolo"," der Zecher"," Кутила"," el Juerguista"," el Juerguista"," Hýřil",", a tivornyás"," Hulaka","2","2"
"114"," le Farceur"," the Trickster"," l'imbroglione"," der Gauner"," Ловкач"," el Embaucador"," el Embaucador"," Lišák",", a trükkös"," Mistyfikator","2","2"
"115","Duc","Duke","Duca","Herzog","Герцог","Duque","Duque","Vévoda","Herceg","Książę","1","1"
"116","Marquis","Marquis","Marchese","Marquis","Маркиз","Marqués","Marqués","Marquis","Márki","Markiz","1","1"
"117","Vicomte","Viscount","Visconte","Vicomte","Виконт","Vizconde","Vizconde","Vikomt","Gróf","Wicehrabia","1","1"
"118","Baron","Baron","Barone","Baron","Барон","Barón","Barón","Baron","Báró","Baron","1","1"
"119","Chevalier","Knight","Cavaliere","Ritter","Рыцарь","Caballero","Caballero","Rytíř","Lovag","Rycerz","1","1"
"120","Sénéchal","Seneschal","Siniscalco","Seneschall","Сенешаль","Senescal","Senescal","Senešal","Udvarmester","Zarządca","1","1"
"121","Barnabas","Barnabas","Barnabas","Barnabas","Барнабас","Barnabas","Barnabas","Barnabas","Barnabas","Barnabas","1","1"
"122","Gustaf","Gustaf","Gustaf","Gustav","Густав","Gustaf","Gustaf","Gustaf","Gustaf","Gustaf","1","1"
"123","Aaron","Aaron","Aaron","Aaron","Аарон","Aaron","Aaron","Aaron","Aaron","Aaron","1","1"
"124","Hieronymus","Hieronymus","Geronimo","Hieronymus","Иероним","Hieronymus","Hieronymus","Sir","Hieronymus","Hieronymus","1","1"
"125","Jekil","Jekil","Jekil","Jekil","Джекил","Jekil","Jekil","Jekil","Jekil","Jekil","1","1"
"126","Wolfgang","Wolfgang","Wolfgang","Wolfgang","Вольфганг","Wolfgang","Wolfgang","Wolfgang","Wolfgang","Wolfgang","1","1"
"127","Edwin","Edwin","Edwin","Edwin","Эдвин","Edwin","Edwin","Edwin","Edwin","Edwin","1","1"
"128","Gerhart","Gerhart","Gerhart","Gerhart","Герхарт","Gerhart","Gerhart","Gerhart","Gerhart","Gerhart","1","1"
"129","Leo","Leo","Leo","Leo","Лео","Leo","Leo","Leo","Leo","Leo","1","1"
"130","Baldric","Baldric","Baldric","Baldric","Болдрик","Baldric","Baldric","Baldric","Baldric","Baldric","1","1"
"131","Bertolf","Bertolf","Bertolf","Bertolf","Бертольф","Bertolf","Bertolf","Bertolf","Bertolf","Bertolf","1","1"
"132","Harkot","Harkot","Harkot","Harkot","Харкот","Harkot","Harkot","Harkot","Harkot","Harkot","1","1"
"133","Edwin","Edwin","Edwin","Edwin","Эдвин","Edwin","Edwin","Edwin","Edwin","Edwin","1","1"
"134","Rein","Rein","Rein","Rein","Рейн","Rein","Rein","Rein","Rein","Rein","1","1"
"135","Arnulf","Arnulf","Arnulf","Arnulf","Арнольф","Arnulf","Arnulf","Arnulf","Arnulf","Arnulf","1","1"
"136","Maxmillian","Maxmillian","Maxmillian","Maxmillian","Максимилиан","Maxmillian","Maxmillian","Maxmillian","Maxmillian","Maxmillian","1","1"
"137","Olbrecht","Olbrecht","Olbrecht","Olbrecht","Ольбрехт","Olbrecht","Olbrecht","Olbrecht","Olbrecht","Olbrecht","1","1"
"138","Gunther","Gunther","Gunther","Gunther","Гюнтер","Gunther","Gunther","Gunther","Gunther","Gunther","1","1"
"139","Stefan","Stefan","Stefan","Stefan","Стефан","Stefan","Stefan","Stefan","Stefan","Stefan","1","1"
"140","Detlef","Detlef","Detlef","Detlef","Детлеф","Detlef","Detlef","Detlef","Detlef","Detlef","1","1"
"141","Hugo","Hugo","Hugo","Hugo","Хьюго","Hugo","Hugo","Hugo","Hugo","Hugo","1","1"
"142","Jorg","Jorg","Jorg","Jörg","Йорг","Jorg","Jorg","Jorg","Jorg","Jorg","1","1"
