"ID","IdPlayerTypes","IdSkillCategories","Description"
"1","1","2","Human Lineman Agility"
"2","1","3","Human Lineman Passing"
"3","1","4","Human Lineman Strength"
"4","2","3","Human Catcher Passing"
"5","2","4","Human Catcher Strength"
"6","3","2","Human Thrower Agility"
"7","3","4","Human Thrower Pass"
"8","4","2","Human Blitzer Agility"
"9","4","3","Human Blitzer Pass"
"10","5","2","Human Ogre Agility"
"11","5","1","Human Ogre General"
"12","5","3","Human Ogre Pass"
"13","6","2",""
"14","6","3",""
"15","7","2",""
"16","7","4",""
"17","8","2",""
"18","8","3",""
"19","9","2",""
"20","9","3",""
"21","10","1",""
"22","10","2",""
"23","10","3",""
"24","11","4","WoodElf Lineman Strength"
"25","11","3","WoodElf Lineman Passing"
"26","12","4","WoodElf Catcher Strength"
"27","12","3","WoodElf Catcher Passing"
"28","13","4","WoodElf Thrower Strength"
"29","14","3","WoodElf Wardancer Passing"
"30","14","4","WoodElf Wardancer Strength"
"31","15","1","WoodElf Treeman General"
"32","15","2","WoodElf Treeman Agility"
"33","15","3","WoodElf Treeman Passing"
"34","16","2",""
"35","16","4",""
"36","16","5",""
"37","16","3",""
"38","17","2",""
"39","17","4",""
"40","17","5",""
"41","18","4",""
"42","18","3",""
"43","18","5",""
"44","19","2",""
"45","19","5",""
"46","19","3",""
"47","20","1",""
"48","20","2",""
"49","20","3",""
"50","20","5",""
"51","21","2",""
"52","21","3",""
"53","21","4",""
"54","22","1",""
"55","22","3",""
"56","22","4",""
"57","23","2",""
"58","23","4",""
"59","24","2",""
"60","24","3",""
"61","25","2",""
"62","25","3",""
"63","26","1",""
"64","26","2",""
"65","26","3",""
"66","27","1","Lizardman Skink General"
"67","27","3","Lizardman Skink Passing"
"68","27","4","Lizardman Skink Strength"
"69","28","2","Lizardman Saurus Agility"
"70","28","3","Lizardman Saurus Passing"
"71","29","1","Lizardman Kroxigor General"
"72","29","2","Lizardman Kroxigor Agility"
"73","29","3","Lizardman Kroxigor Passing"
"74","30","1",""
"75","30","3",""
"76","30","4",""
"77","31","1",""
"78","31","3",""
"79","31","4",""
"80","80","3","High Elf Blitzer Passing"
"81","32","3",""
"82","32","2",""
"83","33","2",""
"84","33","3",""
"87","34","1",""
"88","34","2",""
"89","34","3",""
"90","44","1",""
"91","44","2",""
"92","44","3",""
"93","45","1",""
"94","45","3",""
"95","45","4",""
"96","46","2",""
"97","46","1",""
"98","46","3",""
"99","47","3",""
"100","47","4",""
"101","48","4",""
"102","49","3",""
"103","49","4",""
"104","50","3",""
"105","50","4",""
"106","51","3",""
"107","51","4",""
"108","54","2","Undead Skeleton Agility"
"109","54","4","Undead Skeleton Strength"
"111","54","3","Undead Skeleton Passing"
"112","55","2","Undead Zombie Agility"
"113","55","4","Undead Zombie Strength"
"114","55","3","Undead Zombie Passing"
"115","56","4","Undead Ghoul Strength"
"116","56","3","Undead Ghoul Passing"
"117","57","2","Undead Wright Agility"
"118","57","3","Undead Wright Passing"
"119","58","1","Undead Mummy General"
"120","58","2","Undead Mummy Agility"
"121","58","3","Undead Mummy Passing"
"136","60","1","Halfling Halfling General"
"137","60","4","Halfling Halfling Strength"
"138","60","3","Hafling Halfling Passing"
"139","61","2","Hafling Treeman Agility"
"140","61","1","Hafling Treeman General"
"141","61","3","Hafling Treeman Passing"
"142","62","2","Norse Lineman Agility"
"143","62","4","Norse Lineman Strength"
"144","62","3","Norse Lineman Passing"
"145","63","4","Norse Thrower Strength"
"146","63","2","Norse Thrower Agility"
"147","64","4","Norse Runner Strength"
"148","64","3","Norse Runner Passing"
"149","65","2","Norse Berserker Agility"
"150","65","3","Norse Berserker Passing"
"151","66","2","Norse Ulfwerener Agility"
"152","66","3","Norse Ulfwerener Passing"
"153","67","1","Norse Yhetee General"
"154","67","2","Norse Yhetee Agility"
"155","67","3","Norse Yhetee Passing"
"156","68","2","Amazon Linewoman Agility"
"157","68","3","Amazon Linewoman Passing"
"158","68","4","Amazon Linewoman Strength"
"159","69","2","Amazon Thrower Agility"
"160","69","4","Amazon Thrower Strength"
