"ID","IdPlayerTypes","IdSkillListing","Description"
"1","2","7","Human Catcher Dodge"
"2","2","6","Human Catcher Catch"
"3","3","47","Human Thrower Pass"
"4","3","61","Human Thrower Sure Hands"
"5","4","30","Human Blitzer Block"
"6","5","31","Human Ogre Bone-Head"
"7","5","13","Human Ogre Mighty Blow"
"8","5","63","Human Ogre Thick Skull"
"9","5","64","Human Ogre Throw Team-Mate"
"10","5","44","Human Ogre Loner"
"11","6","30","Dwarf Blocker Block"
"12","6","63","Dwarf Blocker Thick Skull"
"13","6","57","Dwarf Blocker Tackle"
"14","7","61","Dwarf Runner Sure Hands"
"15","7","63","Dwarf Runner Thick Skull"
"16","8","63","Dwarf Blitzer Thick Skull"
"17","8","30","Dwarf Blitzer Block"
"18","9","30","Dwarf TrollSlayer Block"
"19","9","63","Dwarf TrollSlayer Thick Skull"
"20","9","26","Dwarf TrollSlayer Dauntless"
"21","9","36","Dwarf TrollSlayer Frenzy"
"27","12","6","Wood Elf Catcher Catch"
"28","12","7","Wood Elf Catcher Dodge"
"29","13","47","Wood Elf Thrower Pass"
"30","14","30","Wood Elf Wardancer Block"
"31","14","7","Wood Elf Wardancer Dodge"
"32","14","11","Wood Elf Wardancer Leap"
"33","15","13","Wood Elf Treeman Mighty Blow"
"34","15","44","Wood Elf Treeman Loner"
"35","15","17","Wood Elf Treeman Stand Firm"
"36","15","58","Wood Elf Treeman Strong Arm"
"37","15","63","Wood Elf Treeman Thick Skull"
"38","15","64","Wood Elf Treeman ThrowTeam-Mate"
"39","15","20","Wood Elf Treeman Take Root"
"40","17","47","Skaven Thrower Pass"
"41","17","61","Skaven Thrower Sure Hands"
"42","18","7","Skaven Gutter Runner Dodge"
"43","19","30","Skaven Blitzer Block"
"44","20","36","Skaven Rat Ogre Frenzy"
"45","20","13","Skaven Rat Ogre Mighty Blow"
"46","20","44","Skaven Rat Ogre Loner"
"47","20","49","Skaven Rat Ogre Prehensive Tail"
"48","20","67","Skaven Rat Ogre Wild Animal"
"49","22","52","Orc Goblin Right Stuff"
"50","22","7","Orc Goblin Dodge"
"51","22","59","Orc Goblin Stunty"
"52","23","47","Orc Thrower Pass"
"53","23","61","Orc Thrower Sure Hands"
"54","25","30","Orc Blitzer Block"
"55","26","44","Orc Troll Loner"
"56","26","18","Orc Troll Always Hungry"
"57","26","13","Orc Troll Mighty Blow"
"58","26","51","Orc Troll Really Stupid"
"59","26","19","Orc Troll Regeneration"
"60","26","64","Orc Troll Throw Team-Mate"
"61","27","59","Lizardman Skink Stunty"
"62","27","7","Lizardman Skink Dodge"
"63","29","44","Lizardman Kroxigor Loner"
"64","29","13","Lizardman Kroxigor Mighty Blow"
"65","29","31","Lizardman Kroxigor Bone-Head"
"66","29","49","Lizardman Kroxigor PrehensiveTail"
"67","29","63","Lizardman Kroxigor Thick Skull"
"68","30","52","Goblin Gob Right Stuff"
"69","30","7","Goblin Gob Dodge"
"70","30","59","Goblin Gob Stunty"
"71","31","54","Goblin Looney Secret Weapon"
"72","31","59","Goblin Looney Stunty"
"74","31","25","Goblin Looney Chainsaw"
"81","34","63","Chaos Minotaur Thick Skull"
"82","34","13","Chaos Minotaur Mighty Blow"
"83","34","15","Chaos Minotaur Horns"
"84","34","36","Chaos Minotaur Frenzy"
"85","34","44","Chaos Minotaur Loner"
"86","34","67","Chaos Minotaur Wild Animal"
"87","32","15","Chaos Beastman Horns"
"88","36","44","Champion Grashnak Loner"
"89","36","36","Champion Grashnak Frenzy"
"90","36","15","Champion Grashnak Horns"
"91","36","13","Champion Grashnak MBlow"
"92","36","63","Champion Grashnak TSkull"
"93","37","44","Champion Griff Loner"
"94","37","30","Champion Griff Block"
"95","37","7","Champion Griff Dodge"
"96","37","35","Champion Griff Fend"
"97","37","8","Champion Griff Sprint"
"98","37","60","Champion Griff SFeet"
"99","38","44","Champion Grim Loner"
"100","38","36","Champion Grim Frenzy"
"101","38","30","Champion Grim Block"
"102","38","70","Champion Grim MultipleBlock"
"103","38","63","Champion Grim TSkull"
"104","38","26","Champion Grim Dauntless"
"105","40","44","Champion Jordell Loner"
