"ID","DataConstant","IdRaces","IdPlayerNameTypes","LocaName","LocaDesc","CharacsMovementAllowance","CharacsStrength","CharacsAgility","CharacsArmourValue","Price","MaxQuantity","IsLocked","IdFallbackFor"
"1","Human_Lineman","1","1","PLAYERTYPE_TROISQUART","PLAYERTYPE_TROISQUART_DESC","6","3","3","8","50000","16","0","0"
"2","Human_Catcher","1","3","PLAYERTYPE_RECEVEUR","PLAYERTYPE_RECEVEUR_DESC","8","2","3","8","70000","4","0","0"
"3","Human_Thrower","1","3","PLAYERTYPE_LANCEUR","PLAYERTYPE_LANCEUR_DESC","6","3","3","8","70000","2","0","0"
"4","Human_Blitzer","1","1","PLAYERTYPE_BLITZER","PLAYERTYPE_BLITZER_DESC","7","3","3","8","90000","4","0","0"
"5","Human_Ogre","1","4","PLAYERTYPE_OGRE","PLAYERTYPE_BIGGUY_DESC","5","5","2","9","130000","1","0","0"
"6","Dwarf_Blocker","2","13","PLAYERTYPE_BLOCKER_LONGBEARD","PLAYERTYPE_BLOCKER_DESC","4","3","2","9","70000","16","0","0"
"7","Dwarf_Runner","2","13","PLAYERTYPE_COUREUR","PLAYERTYPE_COUREUR_DESC","6","3","3","8","80000","2","0","0"
"8","Dwarf_Blitzer","2","13","PLAYERTYPE_BLITZER","PLAYERTYPE_BLITZER_DESC","5","3","3","9","80000","2","0","0"
"9","Dwarf_TrollSlayer","2","14","PLAYERTYPE_TROLLSLAYER","PLAYERTYPE_TROLLSLAYER_DESC","5","3","2","8","90000","2","0","0"
"10","Dwarf_DeathRoller","2","13","PLAYERTYPE_DEATH_ROLLER","PLAYERTYPE_SECRETWEAPON_DESC","4","7","1","10","160000","1","0","0"
"11","WoodElf_Lineman","7","8","PLAYERTYPE_TROISQUART","PLAYERTYPE_TROISQUART_DESC","7","3","4","7","70000","16","0","0"
"12","WoodElf_Catcher","7","8","PLAYERTYPE_RECEVEUR","PLAYERTYPE_RECEVEUR_DESC","8","2","4","7","90000","4","0","0"
"13","WoodElf_Thrower","7","8","PLAYERTYPE_LANCEUR","PLAYERTYPE_LANCEUR_DESC","7","3","4","7","90000","2","0","0"
"14","WoodElf_Wardancer","7","9","PLAYERTYPE_WARDANCER","PLAYERTYPE_WARDANCER_DESC","8","3","4","7","120000","2","0","0"
"15","WoodElf_Treeman","7","10","PLAYERTYPE_TREEMAN","PLAYERTYPE_BIGGUY_DESC","2","6","1","10","120000","1","0","0"
"16","Skaven_Lineman","3","19","PLAYERTYPE_TROISQUART","PLAYERTYPE_TROISQUART_DESC","7","3","3","7","50000","16","0","0"
"17","Skaven_Thrower","3","19","PLAYERTYPE_LANCEUR","PLAYERTYPE_LANCEUR_DESC","7","3","3","7","70000","2","0","0"
"18","Skaven_GutterRunner","3","19","PLAYERTYPE_GUTTERRUNNER","PLAYERTYPE_COUREUR_DESC","9","2","4","7","80000","4","0","0"
"19","Skaven_Blitzer","3","19","PLAYERTYPE_BLITZER_VERMIN","PLAYERTYPE_BLITZER_DESC","7","3","3","8","90000","2","0","0"
"20","Skaven_RatOgre","3","20","PLAYERTYPE_RATOGRE","PLAYERTYPE_BIGGUY_DESC","6","5","2","8","150000","1","0","0"
"21","Orc_Lineman","4","15","PLAYERTYPE_TROISQUART","PLAYERTYPE_TROISQUART_DESC","5","3","3","9","50000","16","0","0"
"22","Orc_Goblin","4","17","PLAYERTYPE_GOBELIN","PLAYERTYPE_STUNTY_DESC","6","2","3","7","40000","4","0","0"
"23","Orc_Thrower","4","15","PLAYERTYPE_LANCEUR","PLAYERTYPE_LANCEUR_DESC","5","3","3","8","70000","2","0","0"
"24","Orc_BlackOrcBlocker","4","16","PLAYERTYPE_BLACKORC","PLAYERTYPE_BLOCKER_DESC","4","4","2","9","80000","4","0","0"
"25","Orc_Blitzer","4","15","PLAYERTYPE_BLITZER","PLAYERTYPE_BLITZER_DESC","6","3","3","9","80000","4","0","0"
"26","Orc_Troll","4","18","PLAYERTYPE_TROLL","PLAYERTYPE_BIGGUY_DESC","4","5","1","9","110000","1","0","0"
"27","Lizardman_Skink","5","11","PLAYERTYPE_SKINK","PLAYERTYPE_STUNTY_DESC","8","2","3","7","60000","16","0","0"
"28","Lizardman_Saurus","5","11","PLAYERTYPE_SAURUS","PLAYERTYPE_BLOCKER_DESC","6","4","1","9","80000","6","0","0"
"29","Lizardman_Kroxigor","5","12","PLAYERTYPE_KROXIGOR","PLAYERTYPE_BIGGUY_DESC","6","5","1","9","140000","1","0","0"
"30","Goblin_Goblin","6","17","PLAYERTYPE_GOBELIN","PLAYERTYPE_STUNTY_DESC","6","2","3","7","40000","16","0","0"
"31","Goblin_Looney","6","17","PLAYERTYPE_LOONEY","PLAYERTYPE_LOONEY_DESC","6","2","3","7","40000","1","0","0"
"32","Chaos_Beastman","8","5","PLAYERTYPE_BEASTMAN","PLAYERTYPE_TROISQUART_DESC","6","3","3","8","60000","16","0","0"
"33","Chaos_Warrior","8","6","PLAYERTYPE_CHAOSWARRIOR","PLAYERTYPE_BLOCKER_DESC","5","4","3","9","100000","4","0","0"
"34","Chaos_Minotaur","8","7","PLAYERTYPE_MINOTAUR","PLAYERTYPE_BIGGUY_DESC","5","5","2","8","150000","1","0","0"
"36","StarPlayer_GrashnakBlackhoof","26","","PLAYER_NAMES_CHAMPION_CHAOS","","6","6","2","8","310000","1","1","0"
"37","StarPlayer_GriffOberwald","26","","PLAYER_NAMES_CHAMPION_HUMAIN","","7","4","4","8","320000","1","1","0"
"38","StarPlayer_GrimIronjaw","26","","PLAYER_NAMES_CHAMPION_NAIN","","5","4","3","8","220000","1","1","0"
